Element Type,ID,Name,Class Name,CSS Selector,XPath,Outer HTML,Timestamp
"a","No ID","No Name","N/A","a","html > body > header#header > div.header-middle > div.container > div.row > div.col-sm-8:nth-of-type(2) > div.shop-menu.pull-right > ul.nav.navbar-nav > li:nth-of-type(6) > a","<a href=""/api_list""><i class=""fa fa-list""></i> API Testing</a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","N/A","a","html > body > header#header > div.header-middle > div.container > div.row > div.col-sm-8:nth-of-type(2) > div.shop-menu.pull-right > ul.nav.navbar-nav > li:nth-of-type(7) > a","<a href=""https://www.youtube.com/c/AutomationExercise""><i class=""fa fa-youtube-play""></i> Video Tutorials</a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","N/A","a","html > body > header#header > div.header-middle > div.container > div.row > div.col-sm-8:nth-of-type(2) > div.shop-menu.pull-right > ul.nav.navbar-nav > li:nth-of-type(8) > a","<a href=""/contact_us""><i class=""fa fa-envelope""></i> Contact us</a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","test_cases_list","a","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > div.carousel-inner > div.item.active:nth-of-type(1) > div.col-sm-6:nth-of-type(1) > a.test_cases_list:nth-of-type(1)","<a href=""/test_cases"" class=""test_cases_list""><button type=""button"" class=""btn btn-success"">Test Cases</button></a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","apis_list","a","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > div.carousel-inner > div.item.active:nth-of-type(1) > div.col-sm-6:nth-of-type(1) > a.apis_list:nth-of-type(2)","<a href=""/api_list"" class=""apis_list""><button type=""button"" class=""btn btn-success"">APIs list for practice</button></a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","test_cases_list","a","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > div.carousel-inner > div.item:nth-of-type(2) > div.col-sm-6:nth-of-type(1) > a.test_cases_list:nth-of-type(1)","<a href=""/test_cases"" class=""test_cases_list""><button type=""button"" class=""btn btn-success"">Test Cases</button></a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","apis_list","a","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > div.carousel-inner > div.item:nth-of-type(2) > div.col-sm-6:nth-of-type(1) > a.apis_list:nth-of-type(2)","<a href=""/api_list"" class=""apis_list""><button type=""button"" class=""btn btn-success"">APIs list for practice</button></a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","test_cases_list","a","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > div.carousel-inner > div.item:nth-of-type(3) > div.col-sm-6:nth-of-type(1) > a.test_cases_list:nth-of-type(1)","<a href=""/test_cases"" class=""test_cases_list""><button type=""button"" class=""btn btn-success"">Test Cases</button></a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","apis_list","a","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > div.carousel-inner > div.item:nth-of-type(3) > div.col-sm-6:nth-of-type(1) > a.apis_list:nth-of-type(2)","<a href=""/api_list"" class=""apis_list""><button type=""button"" class=""btn btn-success"">APIs list for practice</button></a>","2025-04-05T17:23:40.630Z"
"a","No ID","No Name","left control-carousel hidden-xs","a","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > a.left.control-carousel.hidden-xs:nth-of-type(1)","<a href=""#slider-carousel"" class=""left control-carousel hidden-xs"" data-slide=""prev"">
							<i class=""fa fa-angle-left""></i>
						</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","right control-carousel hidden-xs","a","html > body > section#slider:nth-of-type(1) > div.container > div.row > div.col-sm-12 > div#slider-carousel:nth-of-type(1) > a.right.control-carousel.hidden-xs:nth-of-type(2)","<a href=""#slider-carousel"" class=""right control-carousel hidden-xs"" data-slide=""next"">
							<i class=""fa fa-angle-right""></i>
						</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div#accordian:nth-of-type(1) > div.panel.panel-default:nth-of-type(1) > div.panel-heading:nth-of-type(1) > h4.panel-title > a","<a data-toggle=""collapse"" data-parent=""#accordian"" href=""#Women"">
											<span class=""badge pull-right""><i class=""fa fa-plus""></i></span>
											Women
										</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div#accordian:nth-of-type(1) > div.panel.panel-default:nth-of-type(1) > div#Women:nth-of-type(2) > div.panel-body > ul > li:nth-of-type(1) > a","<a href=""/category_products/1"">Dress </a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div#accordian:nth-of-type(1) > div.panel.panel-default:nth-of-type(1) > div#Women:nth-of-type(2) > div.panel-body > ul > li:nth-of-type(2) > a","<a href=""/category_products/2"">Tops </a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div#accordian:nth-of-type(1) > div.panel.panel-default:nth-of-type(1) > div#Women:nth-of-type(2) > div.panel-body > ul > li:nth-of-type(3) > a","<a href=""/category_products/7"">Saree </a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div#accordian:nth-of-type(1) > div.panel.panel-default:nth-of-type(2) > div.panel-heading:nth-of-type(1) > h4.panel-title > a","<a data-toggle=""collapse"" data-parent=""#accordian"" href=""#Men"">
											<span class=""badge pull-right""><i class=""fa fa-plus""></i></span>
											Men
										</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div#accordian:nth-of-type(1) > div.panel.panel-default:nth-of-type(2) > div#Men:nth-of-type(2) > div.panel-body > ul > li:nth-of-type(1) > a","<a href=""/category_products/3"">Tshirts </a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div#accordian:nth-of-type(1) > div.panel.panel-default:nth-of-type(2) > div#Men:nth-of-type(2) > div.panel-body > ul > li:nth-of-type(2) > a","<a href=""/category_products/6"">Jeans </a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div#accordian:nth-of-type(1) > div.panel.panel-default:nth-of-type(3) > div.panel-heading:nth-of-type(1) > h4.panel-title > a","<a data-toggle=""collapse"" data-parent=""#accordian"" href=""#Kids"">
											<span class=""badge pull-right""><i class=""fa fa-plus""></i></span>
											Kids
										</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div#accordian:nth-of-type(1) > div.panel.panel-default:nth-of-type(3) > div#Kids:nth-of-type(2) > div.panel-body > ul > li:nth-of-type(1) > a","<a href=""/category_products/4"">Dress </a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div#accordian:nth-of-type(1) > div.panel.panel-default:nth-of-type(3) > div#Kids:nth-of-type(2) > div.panel-body > ul > li:nth-of-type(2) > a","<a href=""/category_products/5"">Tops &amp; Shirts </a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div.brands_products:nth-of-type(2) > div.brands-name > ul.nav.nav-pills.nav-stacked > li:nth-of-type(1) > a","<a href=""/brand_products/Polo""> <span class=""pull-right"">(6)</span>Polo</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div.brands_products:nth-of-type(2) > div.brands-name > ul.nav.nav-pills.nav-stacked > li:nth-of-type(2) > a","<a href=""/brand_products/H&amp;M""> <span class=""pull-right"">(5)</span>H&amp;M</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div.brands_products:nth-of-type(2) > div.brands-name > ul.nav.nav-pills.nav-stacked > li:nth-of-type(3) > a","<a href=""/brand_products/Madame""> <span class=""pull-right"">(5)</span>Madame</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div.brands_products:nth-of-type(2) > div.brands-name > ul.nav.nav-pills.nav-stacked > li:nth-of-type(4) > a","<a href=""/brand_products/Mast &amp; Harbour""> <span class=""pull-right"">(3)</span>Mast &amp; Harbour</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div.brands_products:nth-of-type(2) > div.brands-name > ul.nav.nav-pills.nav-stacked > li:nth-of-type(5) > a","<a href=""/brand_products/Babyhug""> <span class=""pull-right"">(4)</span>Babyhug</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div.brands_products:nth-of-type(2) > div.brands-name > ul.nav.nav-pills.nav-stacked > li:nth-of-type(6) > a","<a href=""/brand_products/Allen Solly Junior""> <span class=""pull-right"">(3)</span>Allen Solly Junior</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div.brands_products:nth-of-type(2) > div.brands-name > ul.nav.nav-pills.nav-stacked > li:nth-of-type(7) > a","<a href=""/brand_products/Kookie Kids""> <span class=""pull-right"">(3)</span>Kookie Kids</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-3:nth-of-type(1) > div.left-sidebar > div.brands_products:nth-of-type(2) > div.brands-name > ul.nav.nav-pills.nav-stacked > li:nth-of-type(8) > a","<a href=""/brand_products/Biba""> <span class=""pull-right"">(5)</span>Biba</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div#cartModal:nth-of-type(1) > div.modal-dialog.modal-confirm > div.modal-content > div.modal-body:nth-of-type(2) > p.text-center:nth-of-type(2) > a","<a href=""/view_cart""><u>View Cart</u></a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(2) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""1"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(2) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""1"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(2) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/1"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","google-anno","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(3) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > p > a.google-anno","<a href=""#"" class=""google-anno"" data-google-vignette=""false"" data-google-interstitial=""false"" style=""border: 0px !important; box-shadow: none !important; display: inline !important; float: none !important; margin: 0px !important; outline: 0px !important; padding: 0px !important; text-decoration: none !important; fill: currentcolor !important;""><svg viewBox=""100 -1000 840 840"" width=""calc(14px - 2px)"" height=""14px"" style=""color-scheme: initial !important; forced-color-adjust: initial !important; mask: initial !important; math-depth: initial !important; position: initial !important; position-anchor: initial !important; text-size-adjust: initial !important; appearance: initial !important; color: inherit !important; font: initial !important; font-palette: initial !important; font-synthesis: initial !important; position-area: initial !important; text-orientation: initial !important; text-rendering: initial !important; text-spacing-trim: initial !important; -webkit-font-smoothing: initial !important; -webkit-locale: initial !important; -webkit-text-orientation: initial !important; -webkit-writing-mode: initial !important; writing-mode: initial !important; zoom: initial !important; accent-color: initial !important; place-content: initial !important; place-items: initial !important; place-self: initial !important; alignment-baseline: initial !important; anchor-name: initial !important; anchor-scope: initial !important; animation-composition: initial !important; animation: initial !important; app-region: initial !important; aspect-ratio: initial !important; backdrop-filter: initial !important; backface-visibility: initial !important; background: initial !important; background-blend-mode: initial !important; baseline-shift: initial !important; baseline-source: initial !important; block-size: initial !important; border-block: initial !important; border: 0px !important; border-radius: initial !important; border-collapse: initial !important; border-end-end-radius: initial !important; border-end-start-radius: initial !important; border-inline: initial !important; border-start-end-radius: initial !important; border-start-start-radius: initial !important; inset: initial !important; box-decoration-break: initial !important; box-shadow: none !important; box-sizing: initial !important; break-after: initial !important; break-before: initial !important; break-inside: initial !important; buffered-rendering: initial !important; caption-side: initial !important; caret-color: initial !important; clear: initial !important; clip: initial !important; clip-path: initial !important; clip-rule: initial !important; color-interpolation: initial !important; color-interpolation-filters: initial !important; color-rendering: initial !important; columns: initial !important; column-fill: initial !important; gap: initial !important; column-rule: initial !important; column-span: initial !important; contain: initial !important; contain-intrinsic-block-size: initial !important; contain-intrinsic-size: initial !important; contain-intrinsic-inline-size: initial !important; container: initial !important; content: initial !important; content-visibility: initial !important; counter-increment: initial !important; counter-reset: initial !important; counter-set: initial !important; cursor: inherit !important; cx: initial !important; cy: initial !important; d: initial !important; display: inline !important; dominant-baseline: initial !important; empty-cells: initial !important; field-sizing: initial !important; fill: currentcolor !important; fill-opacity: initial !important; fill-rule: initial !important; filter: initial !important; flex: initial !important; flex-flow: initial !important; float: none !important; flood-color: initial !important; flood-opacity: initial !important; grid: initial !important; grid-area: initial !important; height: initial !important; hyphenate-character: initial !important; hyphenate-limit-chars: initial !important; hyphens: initial !important; image-orientation: initial !important; image-rendering: initial !important; initial-letter: initial !important; inline-size: initial !important; inset-block: initial !important; inset-inline: initial !important; interpolate-size: initial !important; isolation: initial !important; letter-spacing: initial !important; lighting-color: initial !important; line-break: initial !important; list-style: initial !important; margin-block: initial !important; margin: 0px !important; margin-inline: initial !important; marker: initial !important; mask-type: initial !important; math-shift: initial !important; math-style: initial !important; max-block-size: initial !important; max-height: initial !important; max-inline-size: initial !important; max-width: initial !important; min-block-size: initial !important; min-height: initial !important; min-inline-size: initial !important; min-width: initial !important; mix-blend-mode: initial !important; object-fit: initial !important; object-position: initial !important; object-view-box: initial !important; offset: initial !important; opacity: initial !important; order: initial !important; orphans: initial !important; outline: 0px !important; outline-offset: initial !important; overflow-anchor: initial !important; overflow-clip-margin: initial !important; overflow-wrap: initial !important; overflow: initial !important; overlay: initial !important; overscroll-behavior-block: initial !important; overscroll-behavior-inline: initial !important; overscroll-behavior: initial !important; padding-block: initial !important; padding: 0px !important; padding-inline: initial !important; page: initial !important; page-orientation: initial !important; paint-order: initial !important; perspective: initial !important; perspective-origin: initial !important; pointer-events: initial !important; position-try: initial !important; position-visibility: initial !important; quotes: initial !important; r: initial !important; resize: initial !important; rotate: initial !important; ruby-align: initial !important; ruby-position: initial !important; rx: initial !important; ry: initial !important; scale: initial !important; scroll-behavior: initial !important; scroll-initial-target: initial !important; scroll-margin-block: initial !important; scroll-margin: initial !important; scroll-margin-inline: initial !important; scroll-padding-block: initial !important; scroll-padding: initial !important; scroll-padding-inline: initial !important; scroll-snap-align: initial !important; scroll-snap-stop: initial !important; scroll-snap-type: initial !important; scroll-timeline: initial !important; scrollbar-color: initial !important; scrollbar-gutter: initial !important; scrollbar-width: initial !important; shape-image-threshold: initial !important; shape-margin: initial !important; shape-outside: initial !important; shape-rendering: initial !important; size: initial !important; speak: initial !important; stop-color: initial !important; stop-opacity: initial !important; stroke: initial !important; stroke-dasharray: initial !important; stroke-dashoffset: initial !important; stroke-linecap: initial !important; stroke-linejoin: initial !important; stroke-miterlimit: initial !important; stroke-opacity: initial !important; stroke-width: initial !important; tab-size: initial !important; table-layout: initial !important; text-align: initial !important; text-align-last: initial !important; text-anchor: initial !important; text-box: initial !important; text-combine-upright: initial !important; text-decoration: initial !important; text-decoration-skip-ink: initial !important; text-emphasis: initial !important; text-emphasis-position: initial !important; text-indent: initial !important; text-overflow: initial !important; text-shadow: initial !important; text-transform: initial !important; text-underline-offset: initial !important; text-underline-position: initial !important; text-wrap: initial !important; timeline-scope: initial !important; touch-action: initial !important; transform: initial !important; transform-box: initial !important; transform-origin: initial !important; transform-style: initial !important; transition: initial !important; translate: initial !important; user-select: initial !important; vector-effect: initial !important; vertical-align: initial !important; view-timeline: initial !important; view-transition-class: initial !important; view-transition-name: initial !important; visibility: initial !important; border-spacing: initial !important; -webkit-box-align: initial !important; -webkit-box-decoration-break: initial !important; -webkit-box-direction: initial !important; -webkit-box-flex: initial !important; -webkit-box-ordinal-group: initial !important; -webkit-box-orient: initial !important; -webkit-box-pack: initial !important; -webkit-box-reflect: initial !important; -webkit-line-break: initial !important; -webkit-line-clamp: initial !important; -webkit-mask-box-image: initial !important; -webkit-print-color-adjust: initial !important; -webkit-rtl-ordering: initial !important; -webkit-ruby-position: initial !important; -webkit-tap-highlight-color: initial !important; -webkit-text-combine: initial !important; -webkit-text-decorations-in-effect: initial !important; -webkit-text-fill-color: unset !important; -webkit-text-security: initial !important; -webkit-text-stroke: initial !important; -webkit-user-drag: initial !important; white-space-collapse: initial !important; widows: initial !important; width: initial !important; will-change: initial !important; word-break: initial !important; word-spacing: initial !important; x: initial !important; y: initial !important; z-index: initial !important;""><path d=""M784-120 532-372q-30 24-69 38t-83 14q-109 0-184.5-75.5T120-580q0-109 75.5-184.5T380-840q109 0 184.5 75.5T640-580q0 44-14 83t-38 69l252 252-56 56ZM380-400q75 0 127.5-52.5T560-580q0-75-52.5-127.5T380-760q-75 0-127.5 52.5T200-580q0 75 52.5 127.5T380-400Z""></path></svg>&nbsp;<span class=""google-anno-t"" style=""border: 0px !important; box-shadow: none !important; display: inline !important; float: none !important; margin: 0px !important; outline: 0px !important; padding: 0px !important; text-decoration: underline dotted !important; color: inherit !important; font-family: inherit !important; font-size: inherit !important; font-style: inherit !important; font-weight: inherit !important;"">Tshirt</span></a>","2025-04-05T17:23:40.631Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(3) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""2"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(3) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""2"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(3) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/2"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.632Z"
